date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:44:31	78550/78550	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:31	129809/129809	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/01streamapi/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/01streamapi/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:32	93516/93516	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/02urlfiles/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/02urlfiles/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:32	102432/102432	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/03hashcode/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/02javageneral/03hashcode/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:32	93739/93739	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/03layouts/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/03layouts/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:32	119430/119430	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/03layouts/00dialogosenswing/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/03layouts/00dialogosenswing/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:33	105289/105289	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/03layouts/05gridbaglayout/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/03layouts/05gridbaglayout/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:33	84170/84170	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/04patronesdisenho/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/04patronesdisenho/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:33	117828/117828	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/04patronesdisenho/01designprinciples/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/04patronesdisenho/01designprinciples/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:33	127585/127585	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/04patronesdisenho/02singleton/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/04patronesdisenho/02singleton/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:33	100866/100866	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/04patronesdisenho/03objetosinmutables/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/04patronesdisenho/03objetosinmutables/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:34	79372/79372	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:34	80857/80857	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:34	86217/86217	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/10.-la_funcion_main/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/10.-la_funcion_main/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:34	86418/86418	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/20.-la_funcion-print-_y-_println/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/20.-la_funcion-print-_y-_println/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
22:44:34	85654/85654	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Jun%202025%2008:52:58%20GMT	https://manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/30.-comentarios/index.html	C:/Users/Javi/Desktop/AD/AD/manuais.pages.iessanclemente.net/plantillas/dam/ad/00ayudas/05kotlin/01progestructurada/30.-comentarios/index.html	(from https://manuais.pages.iessanclemente.net/plantillas/dam/ad/index.html)
